"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\cardiologists.svg", "XML", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 64
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\dentist.svg", "XML", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 2, 48
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\dermatologist.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\gastroenterologist.svg", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 2, 51
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\histologist.svg", "XML", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 2, 115
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\histopathology.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\nephrologist.svg", "XML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 2, 50
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\neurologist.svg", "XML", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 2, 85
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\ophthalmologists.svg", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"g:\Local Disk F\Source Codes\Flutter\docare\assets\category\orthopedic.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\algeria.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\canada.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\egypt.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\iran.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\iraq.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\morocco.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\syrian.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\flags\united.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\arrow-left.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\badge-check.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\bell.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\calendar.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\calendar_filled.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\clock-five.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\edit.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\heart.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\heart_filled.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\home.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\home_filled.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 16, 27
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\marker.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\moon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
