"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\calendar.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\calendar_filled.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\clock-five.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\edit.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\heart.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\heart_filled.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\home.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\home_filled.svg", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 16, 27
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\marker.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\moon.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\sign-out-alt.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\user_filled.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 16, 24
"g:\Local Disk F\Source Codes\Flutter\docare\assets\icons\user_outlined.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
