"filename", "language", "Dart", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\doctor_screens\doctor_information_screen.dart", "Dart", 2, 0, 0, 2
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\doctor_info_screen.dart", "Dart", -1, 0, 0, -1
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\home_screen.dart", "Dart", 69, 0, 4, 73
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\otp_verification_screen.dart", "Dart", 14, 0, 0, 14
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\doctor_info_screen.dart", "Dart", 8, 0, 3, 11
"Total", "-", 92, 0, 7, 99
