"filename", "language", "Dart", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\doctor_info_screen.dart", "Dart", 16, 2, 6, 24
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\home_screen.dart", "Dart", 54, 45, 9, 108
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\otp_verification_screen.dart", "Dart", -1, 0, 0, -1
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\role_screen.dart", "Dart", 5, 0, 1, 6
"Total", "-", 74, 47, 16, 137
