"filename", "language", "Dart", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\lib\main.dart", "Dart", 6, 7, 1, 14
"g:\Local Disk F\Source Codes\Flutter\docare\lib\network\connection.dart", "Dart", -8, 8, 0, 0
"g:\Local Disk F\Source Codes\Flutter\docare\lib\no_network.dart", "Dart", -9, 12, 0, 3
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\doctor_screens\appointment_screen.dart", "Dart", 0, 0, 2, 2
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\login_screen.dart", "Dart", 0, 1, 0, 1
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\appointment_provider.dart", "Dart", -1, 1, 0, 0
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\auth_provider.dart", "Dart", 1, 0, 1, 2
"g:\Local Disk F\Source Codes\Flutter\docare\lib\state_management\network.dart", "Dart", 1, -1, -35, -35
"Total", "-", -10, 28, -31, -13
